"importId";"numericCode";"name";"fullName";"alpha2Code";"alpha3Code"
"1";"417";"КЫРГЫЗСТАН";"Кыргызская Республика";"KG";"KGZ"
"2";"398";"КАЗАХСТАН";"Республика Казахстан";"KZ";"KAZ"
"3";"860";"УЗБЕКИСТАН";"Республика Узбекистан";"UZ";"UZB"
"4";"643";"РОССИЯ";"Российская Федерация";"RU";"RUS"
"5";"792";"ТУРЦИЯ";"Турецкая Республика";"TR";"TUR"
"6";"156";"КИТАЙ";"Китайская Народная Республика";"CN";"CHN"
"7";"356";"ИНДИЯ";"Республика Индия";"IN";"IND"
"8";"586";"ПАКИСТАН";"Исламская Республика Пакистан";"PK";"PAK"
"9";"364";"ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)";"Исламская Республика Иран";"IR";"IRN"
"10";"410";"КОРЕЯ, РЕСПУБЛИКА";"Республика Корея";"KR";"KOR"
"11";"840";"СОЕДИНЕННЫЕ ШТАТЫ";"Соединенные Штаты Америки";"US";"USA"
"12";"031";"АЗЕРБАЙДЖАН";"Республика Азербайджан";"AZ";"AZE"
"13";"051";"АРМЕНИЯ";"Республика Армения";"AM";"ARM"
"14";"112";"БЕЛАРУСЬ";"Республика Беларусь";"BY";"BLR"
"15";"498";"МОЛДОВА, РЕСПУБЛИКА";"Республика Молдова";"MD";"MDA"
"16";"762";"ТАДЖИКИСТАН";"Республика Таджикистан";"TJ";"TJK"
"17";"795";"ТУРКМЕНИСТАН";"Туркменистан";"TM";"TKM"
"18";"804";"УКРАИНА";"";"UA";"UKR"
"19";"276";"ГЕРМАНИЯ";"Федеративная Республика Германия";"DE";"DEU"
"20";"784";"ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ";"";"AE";"ARE"
"21";"392";"ЯПОНИЯ";"";"JP";"JPN"
"22";"826";"СОЕДИНЕННОЕ КОРОЛЕВСТВО";"Соединенное Королевство Великобритании и Северной Ирландии";"GB";"GBR"
"23";"756";"ШВЕЙЦАРИЯ";"Швейцарская Конфедерация";"CH";"CHE"
"24";"004";"АФГАНИСТАН";"Переходное Исламское Государство Афганистан";"AF";"AFG"
"25";"008";"АЛБАНИЯ";"Республика Албания";"AL";"ALB"
"26";"010";"АНТАРКТИДА";"";"AQ";"ATA"
"27";"012";"АЛЖИР";"Алжирская Народная Демократическая Республика";"DZ";"DZA"
"28";"016";"АМЕРИКАНСКОЕ САМОА";"";"AS";"ASM"
"29";"020";"АНДОРРА";"Княжество Андорра";"AD";"AND"
"30";"024";"АНГОЛА";"Республика Ангола";"AO";"AGO"
"31";"028";"АНТИГУА И БАРБУДА";"";"AG";"ATG"
"32";"032";"АРГЕНТИНА";"Аргентинская Республика";"AR";"ARG"
"33";"036";"АВСТРАЛИЯ";"";"AU";"AUS"
"34";"040";"АВСТРИЯ";"Австрийская Республика";"AT";"AUT"
"35";"044";"БАГАМЫ";"Содружество Багамы";"BS";"BHS"
"36";"048";"БАХРЕЙН";"Королевство Бахрейн";"BH";"BHR"
"37";"050";"БАНГЛАДЕШ";"Народная Республика Бангладеш";"BD";"BGD"
"38";"052";"БАРБАДОС";"";"BB";"BRB"
"39";"056";"БЕЛЬГИЯ";"Королевство Бельгия";"BE";"BEL"
"40";"060";"БЕРМУДЫ";"";"BM";"BMU"
"41";"064";"БУТАН";"Королевство Бутан";"BT";"BTN"
"42";"068";"БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО";"Многонациональное Государство Боливия";"BO";"BOL"
"43";"070";"БОСНИЯ И ГЕРЦЕГОВИНА";"";"BA";"BIH"
"44";"072";"БОТСВАНА";"Республика Ботсвана";"BW";"BWA"
"45";"074";"ОСТРОВ БУВЕ";"";"BV";"BVT"
"46";"076";"БРАЗИЛИЯ";"Федеративная Республика Бразилия";"BR";"BRA"
"47";"084";"БЕЛИЗ";"";"BZ";"BLZ"
"48";"086";"БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ";"";"IO";"IOT"
"49";"090";"СОЛОМОНОВЫ ОСТРОВА";"";"SB";"SLB"
"50";"092";"ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)";"Британские Виргинские острова";"VG";"VGB"
"51";"096";"БРУНЕЙ-ДАРУССАЛАМ";"";"BN";"BRN"
"52";"100";"БОЛГАРИЯ";"Республика Болгария";"BG";"BGR"
"53";"104";"МЬЯНМА";"Республика Союза Мьянма";"MM";"MMR"
"54";"108";"БУРУНДИ";"Республика Бурунди";"BI";"BDI"
"55";"116";"КАМБОДЖА";"Королевство Камбоджа";"KH";"KHM"
"56";"120";"КАМЕРУН";"Республика Камерун";"CM";"CMR"
"57";"124";"КАНАДА";"";"CA";"CAN"
"58";"132";"КАБО-ВЕРДЕ";"Республика Кабо-Верде";"CV";"CPV"
"59";"136";"ОСТРОВА КАЙМАН";"";"KY";"CYM"
"60";"140";"ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА";"";"CF";"CAF"
"61";"144";"ШРИ-ЛАНКА";"Демократическая Социалистическая Республика Шри-Ланка";"LK";"LKA"
"62";"148";"ЧАД";"Республика Чад";"TD";"TCD"
"63";"152";"ЧИЛИ";"Республика Чили";"CL";"CHL"
"64";"158";"ТАЙВАНЬ (КИТАЙ)";"";"TW";"TWN"
"65";"162";"ОСТРОВ РОЖДЕСТВА";"";"CX";"CXR"
"66";"166";"КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА";"";"CC";"CCK"
"67";"170";"КОЛУМБИЯ";"Республика Колумбия";"CO";"COL"
"68";"174";"КОМОРЫ";"Союз Коморы";"KM";"COM"
"69";"175";"МАЙОТТА";"";"YT";"MYT"
"70";"178";"КОНГО";"Республика Конго";"CG";"COG"
"71";"180";"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА";"Демократическая Республика Конго";"CD";"COD"
"72";"184";"ОСТРОВА КУКА";"";"CK";"COK"
"73";"188";"КОСТА-РИКА";"Республика Коста-Рика";"CR";"CRI"
"74";"191";"ХОРВАТИЯ";"Республика Хорватия";"HR";"HRV"
"75";"192";"КУБА";"Республика Куба";"CU";"CUB"
"76";"196";"КИПР";"Республика Кипр";"CY";"CYP"
"77";"203";"ЧЕХИЯ";"Чешская Республика";"CZ";"CZE"
"78";"204";"БЕНИН";"Республика Бенин";"BJ";"BEN"
"79";"208";"ДАНИЯ";"Королевство Дания";"DK";"DNK"
"80";"212";"ДОМИНИКА";"Содружество Доминики";"DM";"DMA"
"81";"214";"ДОМИНИКАНСКАЯ РЕСПУБЛИКА";"";"DO";"DOM"
"82";"218";"ЭКВАДОР";"Республика Эквадор";"EC";"ECU"
"83";"222";"ЭЛЬ-САЛЬВАДОР";"Республика Эль-Сальвадор";"SV";"SLV"
"84";"226";"ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ";"Республика Экваториальная Гвинея";"GQ";"GNQ"
"85";"231";"ЭФИОПИЯ";"Федеративная Демократическая Республика Эфиопия";"ET";"ETH"
"86";"232";"ЭРИТРЕЯ";"Государство Эритрея";"ER";"ERI"
"87";"233";"ЭСТОНИЯ";"Эстонская Республика";"EE";"EST"
"88";"234";"ФАРЕРСКИЕ ОСТРОВА";"";"FO";"FRO"
"89";"238";"ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)";"";"FK";"FLK"
"90";"239";"ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА";"";"GS";"SGS"
"91";"242";"ФИДЖИ";"Республика Фиджи";"FJ";"FJI"
"92";"246";"ФИНЛЯНДИЯ";"Финляндская Республика";"FI";"FIN"
"93";"248";"ЭЛАНДСКИЕ ОСТРОВА";"";"АХ";"ALA"
"94";"250";"ФРАНЦИЯ";"Французская Республика";"FR";"FRA"
"95";"254";"ФРАНЦУЗСКАЯ ГВИАНА";"";"GF";"GUF"
"96";"258";"ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ";"";"PF";"PYF"
"97";"260";"ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ";"";"TF";"ATF"
"98";"262";"ДЖИБУТИ";"Республика Джибути";"DJ";"DJI"
"99";"266";"ГАБОН";"Габонская Республика";"GA";"GAB"
"100";"268";"ГРУЗИЯ";"";"GE";"GEO"
"101";"270";"ГАМБИЯ";"Исламская Республика Гамбия";"GM";"GMB"
"102";"275";"ПАЛЕСТИНА, ГОСУДАРСТВО";"Государство Палестина";"PS";"PSE"
"103";"288";"ГАНА";"Республика Гана";"GH";"GHA"
"104";"292";"ГИБРАЛТАР";"";"GI";"GIB"
