"key","message","comment","context"
"Actions","Действия",,
"All Countries","Все страны",,
"All cars total","Всего автомобилей",,
"Arrival date","Дата прибытия",,
"CAR_CARRIER","Автовоз",,
"COMPANY_CAR","Служебный автомобиль",,
"Calculate","",,
"Calculate storage cost","Рассчитать стоимость хранения",,
"Cancel","Отмена",,
"Car","Автомобиль",,
"Car Carrier","Автовоз",,
"Car carrier - daily income","Автовоз — доход по дням",,
"Charts","Графики",,
"Company Car","Служебный автомобиль",,
"Company cars - daily income","Служебные автомобили — доход по дням",,
"Count of days in storage","Количество дней хранения",,
"Country","Страна",,
"Create On","Дата создания",,
"Created on","Дата создания",,
"Currency","Валюта",,
"Deleted","Удалено",,
"Departure date","Дата убытия",,
"Driver's full name","ФИО водителя",,
"Dvh number","Номер ДВХ",,
"Export Excel","Экспорт в Excel",,
"Filters","Фильтры",,
"Freight Transport",,,
"Freight vehicles - daily income","Грузовые автомобили — доход по дням",,
"Goods","Товары",,
"Income","Доход",,
"Income by transport type","Доход по типам транспорта",,
"Main Information","Основная информация",,
"Name","Наименование",,
"Number Of Transit Declaration","Номер транзитной декларации",,
"Operator who registered","Оператор регистрации",,
"Operator who released","Оператор выпуска",,
"Overview",,,
"Owner","Владелец",,
"PASSENGER","Легковой транспорт",,
"Passenger Transport","Легковой транспорт",,
"Passenger cars - income by day","Легковые автомобили — доход по дням",,
"Perday","Сутки",,
"Phone Number","Номер телефона",,
"PlateNo","Гос. номер ТС",,
"PlateNo trailer","Гос. номер прицепа",,
"Price","Стоимость",,
"Price for storage","Стоимость хранения",,
"Price up to weight","Хранение груза от 1 кг до x кг (включительно)",,
"Product owber","Владелец товара",,
"Quantity","Количество",,
"Reference Books","Справочники",,
"Registration","Регистрация",,
"Registration Form","Форма регистрации",,
"Registration Report","Отчет регистрации",,
"Released","Выпущено",,
"Released On","Дата выпуска",,
"Released on","Дата выпуска",,
"Report end date","Дата окончания отчета",,
"Report start date","Дата начала отчета",,
"Reports","Отчеты",,
"Result","Результат",,
"Russian","Русский",,
"SPECIAL","Спецтехника",,
"SVH","СВХ",,
"Save","Сохранить",,
"Search","Поиск",,
"Serial number","Серийный номер",,
"Special Equipment","Спецтехника",,
"Special equipment - income by day","Спецтехника — доход по дням",,
"Storage Days",,,
"TRUCK","Грузовой транспорт",,
"Tariff","Тариф",,
"Tariffs","Тарифы",,
"Tnved code","Код ТНВЭД",,
"Transit declaration number","Номер транзитной декларации",,
"Transport type","Тип транспорта",,
"Truck tariff","Грузовой транспорт",,
"UId","Идентификатор",,
"VIN code","VIN-код",,
"Weight","Вес",,
"baseDays","Кол-во дней с базовой ценой",,
"calculated amount","Итого",,
"daily price","Стоимость хранения за день",,
"end date time","Конечная дата действия тарифа",,
"maxWeight","Макс.кг для товара X кг",,
"name","Наименование",,
"price above weight","Хранение груза свыше x кг",,
"price above weight after","Хранение груза свыше x кг после изменения цен",,
"price after change","Стоимость после дня изменения тарифа",,
"price up to weight after","Хранение груза от 1 кг до x кг после изменения цен",,
"start date time","Начальная дата действия тарифа",,
"tariff type","Тип ввоза",,
"time сalculation type","Тип подсчета по времени",,
"total_amount","Итого",,
"Тариф хранения",,,
